solution_EF;solution_PBDW;solution_PBDW_eta;solution_PBDW_z
0.3449;0.3449;1.6576e-08;0.3449
0.48846;0.48846;-4.2835e-07;0.48846
0.28148;0.28148;-2.1031e-07;0.28148
0.42727;0.42727;1.0056e-07;0.42727
0.25635;0.25635;-1.6682e-07;0.25635
0.32635;0.32635;9.384e-08;0.32635
0.27699;0.27698;3.4074e-08;0.27698
0.53355;0.53355;-2.0223e-07;0.53355
0.36822;0.36822;-1.7698e-08;0.36822
0.37097;0.37097;5.6124e-08;0.37097
0.21338;0.21338;6.5156e-08;0.21338
0.42848;0.42848;4.8253e-08;0.42848
0.26739;0.26739;-1.4284e-07;0.26739
0.46794;0.46794;-4.1553e-07;0.46794
0.2753;0.2753;-2.0904e-07;0.2753
0.39032;0.39032;-1.2071e-07;0.39032
0.26707;0.26707;1.3141e-07;0.26707
0.30584;0.30584;-2.1637e-07;0.30584
0.48536;0.48536;1.9091e-07;0.48536
0.31412;0.31412;-6.0628e-08;0.31412
0.425;0.425;1.8513e-07;0.425
0.23058;0.23058;1.3516e-07;0.23058
0.32494;0.32494;1.5309e-08;0.32494
0.35715;0.35715;1.284e-08;0.35715
0.51156;0.51156;2.8084e-07;0.51156
0.32259;0.32259;-4.7926e-08;0.32259
0.43062;0.43062;2.8321e-07;0.43062
0.21661;0.21661;1.0989e-07;0.21661
0.35737;0.35737;-4.4919e-09;0.35737
0.29936;0.29936;9.5287e-08;0.29936
0.4162;0.4162;-2.6803e-08;0.4162
0.48491;0.48491;2.3203e-07;0.48491
0.30265;0.30265;-1.2967e-07;0.30265
0.44561;0.44561;2.009e-07;0.44561
0.23143;0.23143;-4.9801e-08;0.23143
0.32725;0.32725;-1.0458e-07;0.32725
0.43599;0.43599;1.4623e-08;0.43599
0.52898;0.52898;5.2937e-08;0.52898
0.34773;0.34773;-3.6657e-09;0.34773
0.40009;0.40009;1.7943e-07;0.40009
0.21076;0.21076;8.2128e-08;0.21076
0.46798;0.46798;2.8956e-07;0.46798
0.33667;0.33667;2.3564e-08;0.33667
0.37871;0.37871;2.2769e-07;0.37871
0.24214;0.24214;1.6514e-07;0.24214
0.4207;0.4207;7.7094e-08;0.4207
0.38407;0.38407;7.8795e-08;0.38407
0.55054;0.55055;-1.6776e-07;0.55055
0.20507;0.20507;-5.7344e-09;0.20507
0.36731;0.36731;-1.58e-08;0.36731
0.28268;0.28268;1.3236e-07;0.28268
0.4199;0.4199;-5.9063e-08;0.4199
0.32027;0.32027;6.2553e-08;0.32027
0.29759;0.29759;-6.5625e-08;0.29759
0.30851;0.30851;-1.1135e-07;0.30851
0.44375;0.44375;-1.2493e-07;0.44375
0.30852;0.30852;3.6205e-08;0.30852
0.37819;0.37819;1.0074e-08;0.37819
0.3971;0.3971;-1.1109e-07;0.3971
0.37997;0.37997;-5.8366e-08;0.37997
0.28615;0.28615;1.1426e-07;0.28615
0.28851;0.28851;1.6284e-07;0.28851
0.29362;0.29362;-1.3084e-07;0.29362
0.40595;0.40595;4.3334e-08;0.40595
0.41453;0.41453;4.3274e-08;0.41453
0.54106;0.54106;1.063e-07;0.54106
0.34372;0.34372;-5.4888e-09;0.34372
0.4169;0.4169;2.2409e-07;0.4169
0.20419;0.20419;4.5368e-08;0.20419
0.55205;0.55205;-2.5129e-07;0.55205
0.36485;0.36485;1.8956e-08;0.36485
0.38052;0.38052;-1.4834e-08;0.38052
0.20856;0.20856;-8.629e-09;0.20856
0.30578;0.30578;-3.6827e-08;0.30578
0.51294;0.51294;-2.9969e-07;0.51294
0.31156;0.31156;-1.189e-07;0.31156
0.40597;0.40597;7.0604e-08;0.40597
0.23606;0.23606;-3.8731e-08;0.23606
0.33775;0.33775;-1.5276e-07;0.33775
0.43107;0.43107;5.1952e-08;0.43107
0.30116;0.30116;1.7117e-08;0.30116
0.26517;0.26517;9.088e-09;0.26517
0.43505;0.43505;4.0665e-08;0.43505
0.28358;0.28358;-7.6185e-08;0.28358
0.44321;0.44321;-1.4696e-07;0.44321
